GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
arraylist,es.iesptocruz.victor.modelo,Bbdd,140,131,6,2,39,44,11,8,7,8
arraylist,es.iesptocruz.victor.modelo,BbddMySql,0,5,0,0,0,2,0,1,0,1
arraylist,es.iesptocruz.victor.modelo,BbddSqlite,0,5,0,0,0,2,0,1,0,1
arraylist,es.iesptocruz.victor.vista,Run,10,0,0,0,4,0,2,0,2,0
arraylist,es.iesptocruz.victor.excepciones,BbddException,10,0,0,0,4,0,2,0,2,0
arraylist,es.iesptocruz.victor.controlador,SQliteController,22,0,4,0,7,0,4,0,2,0
arraylist,es.iesptocruz.victor.controlador,MySQLController,24,0,4,0,7,0,4,0,2,0
