GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
arraylist,es.iesptocruz.victor,Lista,0,48,1,1,0,15,1,5,0,5
arraylist,es.iesptocruz.victor,App,7,0,0,0,3,0,2,0,2,0
