GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alumnosclase,es.iesptocruz.victor.api,Alumno,102,38,23,1,28,13,15,7,3,7
alumnosclase,es.iesptocruz.victor.modelo,Fichero,101,20,9,1,31,8,9,2,4,2
alumnosclase,es.iesptocruz.victor.modelo,AlumnoModelo,4,79,2,4,1,20,3,7,1,6
alumnosclase,es.iesptocruz.victor.excepciones,AlumnoException,9,0,0,0,4,0,2,0,2,0
alumnosclase,es.iesptocruz.victor.excepciones,FicheroException,9,0,0,0,4,0,2,0,2,0
alumnosclase,es.iesptocruz.victor.controlador,AlumnoController,29,87,10,10,5,21,11,7,1,7
